date;Modern languages and linguistics;Sarah Ferguson;H&M;Manuscripts and letters;air travel;isPartial
2022-01-01;0;1;90;0;3;False
2022-01-02;0;2;100;0;5;False
2022-01-03;0;2;97;0;4;False
2022-01-04;0;2;85;0;4;False
2022-01-05;0;1;77;0;6;False
2022-01-06;0;0;73;0;5;False
2022-01-07;0;2;73;0;5;False
2022-01-08;0;2;94;0;6;False
2022-01-09;0;2;88;0;5;False
2022-01-10;0;2;78;0;8;False
2022-01-11;0;1;77;0;7;False
2022-01-12;0;3;69;0;6;False
2022-01-13;0;9;72;0;8;False
2022-01-14;0;11;66;0;7;False
2022-01-15;0;6;94;0;5;False
2022-01-16;0;3;88;0;6;False
2022-01-17;0;2;71;0;5;False
2022-01-18;0;2;69;0;5;False
2022-01-19;0;2;62;0;6;False
2022-01-20;0;2;64;0;4;False
2022-01-21;0;4;70;0;3;False
2022-01-22;0;2;89;0;4;False
2022-01-23;0;2;95;0;6;False
2022-01-24;0;0;77;0;8;False
2022-01-25;0;1;67;0;4;False
2022-01-26;0;1;66;0;5;False
2022-01-27;0;1;67;0;6;False
2022-01-28;0;1;79;0;4;False
2022-01-29;0;0;97;0;5;False
2022-01-30;0;1;96;0;6;False
2022-01-31;0;1;77;0;7;False
