date;Flu pandemic;PEN literary prizes;Stephen Graham;Van Dyck;air travel;isPartial
2022-01-01;15;0;47;0;25;False
2022-01-02;7;0;35;8;47;False
2022-01-03;17;0;42;0;38;False
2022-01-04;6;0;48;0;40;False
2022-01-05;11;0;32;0;57;False
2022-01-06;22;0;45;0;45;False
2022-01-07;22;0;71;3;47;False
2022-01-08;24;0;97;6;53;False
2022-01-09;5;0;100;0;41;False
2022-01-10;7;0;79;16;72;False
2022-01-11;5;0;56;0;59;False
2022-01-12;6;0;70;4;50;False
2022-01-13;9;0;56;0;74;False
2022-01-14;5;0;99;0;62;False
2022-01-15;0;0;69;0;49;False
2022-01-16;0;0;68;4;54;False
2022-01-17;8;0;24;5;48;False
2022-01-18;4;0;43;0;44;False
2022-01-19;0;0;38;0;55;False
2022-01-20;5;0;39;5;40;False
2022-01-21;15;0;39;3;28;False
2022-01-22;0;0;60;0;40;False
2022-01-23;0;0;60;0;51;False
2022-01-24;8;0;32;3;72;False
2022-01-25;8;0;56;11;37;False
2022-01-26;8;0;34;0;47;False
2022-01-27;0;0;35;5;53;False
2022-01-28;0;0;41;0;37;False
2022-01-29;0;0;52;0;45;False
2022-01-30;0;0;47;0;53;False
2022-01-31;0;0;48;0;61;False
