date;Hair loss;Bolton;Ole Gunnar Solskjaer;Fantasy Football;air travel;isPartial
2022-01-01;8;72;1;41;2;False
2022-01-02;9;61;1;25;3;False
2022-01-03;9;59;1;13;3;False
2022-01-04;9;74;0;10;3;False
2022-01-05;9;62;0;5;4;False
2022-01-06;7;59;1;5;3;False
2022-01-07;9;61;0;8;3;False
2022-01-08;9;63;0;6;4;False
2022-01-09;10;56;0;6;3;False
2022-01-10;8;70;1;8;5;False
2022-01-11;9;70;0;10;4;False
2022-01-12;10;65;1;16;3;False
2022-01-13;12;70;0;19;5;False
2022-01-14;9;65;0;35;4;False
2022-01-15;10;74;0;30;3;False
2022-01-16;10;64;1;22;4;False
2022-01-17;10;67;0;9;3;False
2022-01-18;9;62;1;12;3;False
2022-01-19;9;57;0;15;4;False
2022-01-20;9;59;0;13;3;False
2022-01-21;8;63;1;28;2;False
2022-01-22;8;71;0;21;3;False
2022-01-23;10;57;0;21;3;False
2022-01-24;8;71;0;8;5;False
2022-01-25;7;62;0;5;2;False
2022-01-26;8;66;1;5;3;False
2022-01-27;7;61;1;3;4;False
2022-01-28;8;71;1;4;2;False
2022-01-29;8;100;1;3;3;False
2022-01-30;9;67;1;3;4;False
2022-01-31;9;78;1;4;4;False
