date;Diabetes;Avicii;The Archers;Inheritance tax;air travel;isPartial
2022-01-01;60;11;6;10;4;False
2022-01-02;68;8;11;8;7;False
2022-01-03;68;4;12;10;6;False
2022-01-04;80;4;7;12;6;False
2022-01-05;86;3;8;14;9;False
2022-01-06;87;1;9;12;7;False
2022-01-07;85;5;7;13;8;False
2022-01-08;65;4;4;14;9;False
2022-01-09;82;4;10;10;7;False
2022-01-10;90;4;7;15;12;False
2022-01-11;100;2;6;11;9;False
2022-01-12;94;3;4;15;8;False
2022-01-13;89;4;7;15;12;False
2022-01-14;80;3;6;14;10;False
2022-01-15;80;5;6;11;8;False
2022-01-16;78;5;8;14;9;False
2022-01-17;89;4;8;13;8;False
2022-01-18;92;3;7;12;7;False
2022-01-19;83;4;7;13;9;False
2022-01-20;84;3;5;12;6;False
2022-01-21;79;4;7;12;5;False
2022-01-22;63;6;3;16;6;False
2022-01-23;70;5;7;13;8;False
2022-01-24;96;1;14;15;12;False
2022-01-25;90;2;9;14;6;False
2022-01-26;95;5;6;16;8;False
2022-01-27;87;3;6;15;9;False
2022-01-28;86;3;5;14;6;False
2022-01-29;70;6;4;10;7;False
2022-01-30;70;2;8;14;9;False
2022-01-31;93;3;9;13;10;False
