date;Cricket Australia;George Alagiah;Bankruptcy and IVAs;Luiz Inácio Lula da Silva;air travel;isPartial
2022-01-01;9;0;0;0;10;False
2022-01-02;13;12;0;0;18;False
2022-01-03;7;100;0;5;14;False
2022-01-04;17;16;0;0;15;False
2022-01-05;26;5;0;3;22;False
2022-01-06;26;3;0;0;17;False
2022-01-07;35;5;0;0;18;False
2022-01-08;39;0;0;0;20;False
2022-01-09;39;0;0;0;15;False
2022-01-10;9;2;0;0;27;False
2022-01-11;4;3;0;2;22;False
2022-01-12;4;0;0;0;19;False
2022-01-13;0;0;0;0;28;False
2022-01-14;35;0;0;0;24;False
2022-01-15;39;0;0;0;19;False
2022-01-16;44;0;0;0;20;False
2022-01-17;5;2;0;0;18;False
2022-01-18;5;2;0;2;17;False
2022-01-19;6;1;0;0;21;False
2022-01-20;7;0;0;0;15;False
2022-01-21;7;4;0;0;11;False
2022-01-22;6;3;0;0;15;False
2022-01-23;4;2;0;0;19;False
2022-01-24;3;0;0;0;27;False
2022-01-25;7;0;0;0;14;False
2022-01-26;4;0;0;0;18;False
2022-01-27;5;4;0;3;20;False
2022-01-28;9;0;0;0;14;False
2022-01-29;10;0;0;0;17;False
2022-01-30;11;2;0;0;20;False
2022-01-31;2;1;0;0;23;False
