date;kim jong un;new york;devon;pope francis;air travel;isPartial
2022-01-01;4;100;61;1;2;False
2022-01-02;2;88;69;1;3;False
2022-01-03;2;81;60;1;3;False
2022-01-04;1;82;61;0;3;False
2022-01-05;2;80;60;2;4;False
2022-01-06;2;81;60;7;3;False
2022-01-07;2;86;61;4;3;False
2022-01-08;2;98;65;1;4;False
2022-01-09;2;100;64;1;3;False
2022-01-10;2;98;72;2;5;False
2022-01-11;2;81;61;2;4;False
2022-01-12;2;79;61;1;3;False
2022-01-13;2;83;60;1;5;False
2022-01-14;1;77;52;1;4;False
2022-01-15;4;93;66;1;3;False
2022-01-16;3;98;74;1;4;False
2022-01-17;1;79;67;0;3;False
2022-01-18;2;73;59;1;3;False
2022-01-19;1;67;56;0;4;False
2022-01-20;2;69;56;3;3;False
2022-01-21;2;77;58;0;2;False
2022-01-22;1;78;55;0;3;False
2022-01-23;1;86;61;1;4;False
2022-01-24;2;88;70;1;5;False
2022-01-25;2;70;60;1;3;False
2022-01-26;1;72;60;1;3;False
2022-01-27;2;69;56;1;4;False
2022-01-28;3;72;57;1;3;False
2022-01-29;1;86;61;0;3;False
2022-01-30;2;91;65;1;4;False
2022-01-31;1;72;61;1;4;False
