date;olivia rodrigo;the weeknd;ed sheeran;virginia;air travel;isPartial
2022-01-01;5;4;100;19;2;False
2022-01-02;4;4;27;17;3;False
2022-01-03;4;4;18;29;3;False
2022-01-04;4;5;19;30;3;False
2022-01-05;5;6;15;19;4;False
2022-01-06;3;6;13;12;3;False
2022-01-07;4;26;18;14;3;False
2022-01-08;6;19;22;14;4;False
2022-01-09;4;14;21;13;3;False
2022-01-10;4;9;16;11;5;False
2022-01-11;2;8;14;10;4;False
2022-01-12;4;8;14;26;4;False
2022-01-13;3;7;16;38;5;False
2022-01-14;4;7;21;26;4;False
2022-01-15;3;9;26;23;3;False
2022-01-16;5;7;22;20;4;False
2022-01-17;4;4;14;15;3;False
2022-01-18;3;4;13;11;3;False
2022-01-19;3;5;17;10;4;False
2022-01-20;3;4;16;10;3;False
2022-01-21;3;5;18;10;2;False
2022-01-22;4;6;18;12;3;False
2022-01-23;4;5;16;12;4;False
2022-01-24;3;4;14;12;5;False
2022-01-25;3;4;14;11;3;False
2022-01-26;2;4;17;11;3;False
2022-01-27;4;3;14;14;4;False
2022-01-28;4;4;19;11;3;False
2022-01-29;4;5;21;13;3;False
2022-01-30;4;4;16;10;4;False
2022-01-31;3;3;13;16;4;False
