date;sex attacks;jeremy clarkson;maryland;alcohol;air travel;isPartial
2022-01-01;0;7;3;100;2;False
2022-01-02;0;8;4;83;3;False
2022-01-03;0;6;3;73;3;False
2022-01-04;0;7;3;67;3;False
2022-01-05;0;6;2;65;4;False
2022-01-06;0;5;2;62;3;False
2022-01-07;0;5;2;77;3;False
2022-01-08;0;5;2;82;4;False
2022-01-09;0;6;2;75;3;False
2022-01-10;0;6;3;66;5;False
2022-01-11;0;5;3;58;4;False
2022-01-12;0;5;3;60;3;False
2022-01-13;0;3;3;70;5;False
2022-01-14;0;4;3;65;4;False
2022-01-15;0;5;3;78;3;False
2022-01-16;0;6;3;84;4;False
2022-01-17;0;3;3;71;3;False
2022-01-18;0;3;2;60;3;False
2022-01-19;0;2;3;58;4;False
2022-01-20;0;2;3;58;3;False
2022-01-21;0;3;3;69;2;False
2022-01-22;0;4;2;74;3;False
2022-01-23;0;4;3;64;3;False
2022-01-24;0;3;3;70;5;False
2022-01-25;0;4;3;54;2;False
2022-01-26;0;4;4;56;3;False
2022-01-27;0;3;2;60;4;False
2022-01-28;0;3;2;74;2;False
2022-01-29;0;5;2;72;3;False
2022-01-30;0;4;3;67;4;False
2022-01-31;0;4;2;61;4;False
