date;county durham;neighbours;paraguay;derbyshire;air travel;isPartial
2022-01-01;10;35;2;60;6;False
2022-01-02;11;36;3;63;10;False
2022-01-03;12;54;3;71;8;False
2022-01-04;18;47;1;85;9;False
2022-01-05;19;40;2;73;13;False
2022-01-06;16;41;5;75;10;False
2022-01-07;20;62;4;80;10;False
2022-01-08;12;44;2;68;12;False
2022-01-09;12;31;11;73;9;False
2022-01-10;16;47;3;88;16;False
2022-01-11;13;68;3;76;13;False
2022-01-12;13;52;4;77;11;False
2022-01-13;17;52;3;85;16;False
2022-01-14;14;43;3;71;14;False
2022-01-15;15;44;3;70;11;False
2022-01-16;19;35;3;84;12;False
2022-01-17;18;45;4;92;11;False
2022-01-18;19;100;3;84;10;False
2022-01-19;18;72;2;73;12;False
2022-01-20;17;50;1;83;9;False
2022-01-21;15;62;3;77;6;False
2022-01-22;9;42;4;63;9;False
2022-01-23;14;34;2;71;11;False
2022-01-24;21;60;2;91;16;False
2022-01-25;17;44;4;74;8;False
2022-01-26;17;41;4;79;10;False
2022-01-27;16;40;9;67;12;False
2022-01-28;15;45;14;68;8;False
2022-01-29;18;46;3;81;10;False
2022-01-30;18;38;3;68;12;False
2022-01-31;18;40;2;86;13;False
