date;nottinghamshire;emma raducanu;smart motorways;michael b jordan;air travel;isPartial
2022-01-01;7;12;0;2;2;False
2022-01-02;8;6;0;4;5;False
2022-01-03;9;4;0;2;4;False
2022-01-04;10;4;0;1;4;False
2022-01-05;9;6;1;2;6;False
2022-01-06;9;5;0;2;4;False
2022-01-07;8;3;0;1;5;False
2022-01-08;8;5;1;2;5;False
2022-01-09;8;9;0;3;4;False
2022-01-10;11;8;0;1;7;False
2022-01-11;11;24;0;1;6;False
2022-01-12;9;7;16;2;5;False
2022-01-13;10;10;1;3;7;False
2022-01-14;10;5;0;1;6;False
2022-01-15;8;8;1;3;5;False
2022-01-16;9;9;0;2;5;False
2022-01-17;11;24;0;1;5;False
2022-01-18;9;100;0;2;4;False
2022-01-19;9;27;2;4;5;False
2022-01-20;11;91;1;3;4;False
2022-01-21;8;13;0;4;3;False
2022-01-22;8;13;0;3;4;False
2022-01-23;9;5;0;2;5;False
2022-01-24;14;12;0;1;7;False
2022-01-25;12;6;0;2;4;False
2022-01-26;10;3;1;2;5;False
2022-01-27;8;5;1;2;5;False
2022-01-28;8;5;1;3;4;False
2022-01-29;8;60;0;4;4;False
2022-01-30;9;18;1;2;5;False
2022-01-31;13;5;0;2;6;False
