date;norway;ian king business podcast;the netherlands;rail;air travel;isPartial
2022-01-01;21;0;3;65;2;False
2022-01-02;27;0;3;76;3;False
2022-01-03;20;0;4;75;3;False
2022-01-04;18;0;4;82;3;False
2022-01-05;20;0;3;77;4;False
2022-01-06;20;0;4;74;3;False
2022-01-07;15;0;3;82;4;False
2022-01-08;20;0;3;77;4;False
2022-01-09;23;0;4;82;3;False
2022-01-10;19;0;5;90;5;False
2022-01-11;20;0;3;81;4;False
2022-01-12;19;0;3;83;4;False
2022-01-13;21;0;4;89;6;False
2022-01-14;20;0;3;82;5;False
2022-01-15;20;0;4;88;4;False
2022-01-16;19;0;3;90;4;False
2022-01-17;20;0;5;97;4;False
2022-01-18;16;0;4;89;3;False
2022-01-19;18;0;3;80;4;False
2022-01-20;17;0;3;85;3;False
2022-01-21;18;0;3;84;2;False
2022-01-22;18;0;2;87;3;False
2022-01-23;24;0;4;83;4;False
2022-01-24;23;0;4;97;5;False
2022-01-25;16;0;3;82;3;False
2022-01-26;18;0;5;86;4;False
2022-01-27;18;0;4;86;4;False
2022-01-28;19;0;3;97;3;False
2022-01-29;17;0;3;100;3;False
2022-01-30;18;0;3;86;4;False
2022-01-31;17;0;4;95;5;False
