date;gloucestershire;insulate britain;house of lords;toronto;air travel;isPartial
2022-01-01;70;3;6;67;8;False
2022-01-02;73;2;8;62;15;False
2022-01-03;69;4;5;59;13;False
2022-01-04;82;2;8;54;13;False
2022-01-05;81;2;13;50;19;False
2022-01-06;83;0;10;53;15;False
2022-01-07;87;3;6;48;15;False
2022-01-08;72;2;8;55;17;False
2022-01-09;70;0;7;66;13;False
2022-01-10;100;4;15;52;24;False
2022-01-11;83;0;16;61;19;False
2022-01-12;79;3;13;50;16;False
2022-01-13;76;0;11;53;24;False
2022-01-14;73;3;7;41;20;False
2022-01-15;79;0;5;61;16;False
2022-01-16;77;4;8;67;18;False
2022-01-17;78;4;18;64;16;False
2022-01-18;79;0;21;61;14;False
2022-01-19;72;1;11;44;18;False
2022-01-20;77;5;9;50;13;False
2022-01-21;72;0;9;53;9;False
2022-01-22;65;7;4;48;13;False
2022-01-23;72;0;3;57;17;False
2022-01-24;84;3;20;59;24;False
2022-01-25;80;1;12;49;12;False
2022-01-26;73;0;13;55;16;False
2022-01-27;70;2;16;44;17;False
2022-01-28;73;2;10;47;12;False
2022-01-29;69;2;5;57;15;False
2022-01-30;65;0;2;55;17;False
2022-01-31;74;1;11;48;20;False
