date;asylum;greece;sport's coronavirus crisis;dyslexia;air travel;isPartial
2022-01-01;11;57;0;5;3;False
2022-01-02;15;55;0;7;5;False
2022-01-03;14;62;0;7;4;False
2022-01-04;13;56;0;9;5;False
2022-01-05;12;59;0;8;6;False
2022-01-06;16;56;0;11;5;False
2022-01-07;13;59;0;8;5;False
2022-01-08;12;71;0;9;6;False
2022-01-09;13;84;0;10;5;False
2022-01-10;18;69;0;12;8;False
2022-01-11;15;69;0;12;7;False
2022-01-12;14;61;0;15;6;False
2022-01-13;13;66;0;17;8;False
2022-01-14;14;60;0;12;7;False
2022-01-15;15;73;0;10;6;False
2022-01-16;15;87;0;9;6;False
2022-01-17;16;73;0;13;5;False
2022-01-18;13;78;0;15;5;False
2022-01-19;13;61;0;16;6;False
2022-01-20;13;56;0;13;5;False
2022-01-21;12;63;0;15;3;False
2022-01-22;12;69;0;9;4;False
2022-01-23;15;92;0;10;6;False
2022-01-24;19;100;0;19;8;False
2022-01-25;13;86;0;17;4;False
2022-01-26;14;65;0;22;5;False
2022-01-27;12;60;0;17;6;False
2022-01-28;14;58;0;12;4;False
2022-01-29;14;65;0;12;5;False
2022-01-30;12;77;0;9;6;False
2022-01-31;11;66;0;17;7;False
