date;mcdonald's;west sussex;tom tugendhat;tiger king;air travel;isPartial
2022-01-01;100;4;0;1;1;False
2022-01-02;43;4;0;1;1;False
2022-01-03;38;4;0;1;1;False
2022-01-04;28;4;0;0;1;False
2022-01-05;30;5;0;0;2;False
2022-01-06;27;4;0;0;1;False
2022-01-07;33;5;0;1;1;False
2022-01-08;39;4;0;1;2;False
2022-01-09;38;4;0;1;1;False
2022-01-10;28;5;0;1;2;False
2022-01-11;26;5;0;1;2;False
2022-01-12;25;5;1;1;1;False
2022-01-13;26;5;1;1;2;False
2022-01-14;32;4;0;0;2;False
2022-01-15;43;4;0;0;1;False
2022-01-16;42;5;0;1;2;False
2022-01-17;26;5;0;1;1;False
2022-01-18;25;5;0;0;1;False
2022-01-19;21;5;0;0;2;False
2022-01-20;26;4;0;0;1;False
2022-01-21;32;5;0;0;1;False
2022-01-22;39;4;0;1;1;False
2022-01-23;35;4;0;0;1;False
2022-01-24;39;5;0;0;2;False
2022-01-25;36;4;0;0;1;False
2022-01-26;29;4;0;0;1;False
2022-01-27;33;4;0;0;2;False
2022-01-28;33;5;1;1;1;False
2022-01-29;43;4;6;2;1;False
2022-01-30;37;4;2;1;2;False
2022-01-31;26;5;1;1;2;False
