date;communications satellites;elon musk;spacex;china;air travel;isPartial
2022-01-01;0;21;2;98;2;False
2022-01-02;0;17;2;87;4;False
2022-01-03;0;14;2;82;3;False
2022-01-04;0;18;3;88;3;False
2022-01-05;0;16;3;86;5;False
2022-01-06;0;15;2;80;4;False
2022-01-07;0;15;2;87;4;False
2022-01-08;0;14;2;92;5;False
2022-01-09;0;15;2;83;4;False
2022-01-10;0;11;2;100;6;False
2022-01-11;0;12;2;84;5;False
2022-01-12;0;12;1;86;4;False
2022-01-13;0;11;2;92;6;False
2022-01-14;0;15;0;86;5;False
2022-01-15;0;14;2;96;4;False
2022-01-16;0;14;1;87;5;False
2022-01-17;0;30;1;85;4;False
2022-01-18;0;14;2;78;4;False
2022-01-19;0;11;3;74;5;False
2022-01-20;0;11;3;74;3;False
2022-01-21;0;13;2;84;2;False
2022-01-22;0;13;2;88;3;False
2022-01-23;0;14;1;79;4;False
2022-01-24;0;11;1;93;6;False
2022-01-25;0;12;2;81;3;False
2022-01-26;0;10;12;80;4;False
2022-01-27;0;15;8;82;5;False
2022-01-28;0;21;7;96;3;False
2022-01-29;0;16;4;96;4;False
2022-01-30;0;13;2;79;5;False
2022-01-31;0;13;4;82;5;False
