date;glaciers;his dark materials;wales business;splott;air travel;isPartial
2022-01-01;0;56;19;6;34;False
2022-01-02;0;52;12;0;63;False
2022-01-03;11;71;16;12;51;False
2022-01-04;0;55;18;0;54;False
2022-01-05;12;24;14;8;77;False
2022-01-06;12;34;29;8;61;False
2022-01-07;5;24;17;6;63;False
2022-01-08;11;19;13;11;71;False
2022-01-09;8;44;9;0;55;False
2022-01-10;6;18;28;28;97;False
2022-01-11;18;20;8;11;79;False
2022-01-12;10;20;19;8;67;False
2022-01-13;12;46;20;7;100;False
2022-01-14;29;21;9;0;84;False
2022-01-15;21;45;26;0;66;False
2022-01-16;34;18;20;0;72;False
2022-01-17;18;23;30;7;65;False
2022-01-18;18;23;19;9;59;False
2022-01-19;12;27;16;5;74;False
2022-01-20;21;19;27;12;54;False
2022-01-21;13;20;16;0;38;False
2022-01-22;14;35;0;5;53;False
2022-01-23;14;48;13;11;69;False
2022-01-24;14;39;31;5;97;False
2022-01-25;20;36;12;8;49;False
2022-01-26;0;33;19;12;64;False
2022-01-27;10;29;16;10;71;False
2022-01-28;0;33;16;0;49;False
2022-01-29;0;21;0;0;60;False
2022-01-30;12;54;0;7;71;False
2022-01-31;14;11;22;5;82;False
