date;social media;beauty standards;at&t;north korean defectors;air travel;isPartial
2022-01-01;41;0;1;0;6;False
2022-01-02;53;0;1;0;12;False
2022-01-03;64;2;0;0;10;False
2022-01-04;77;0;2;0;10;False
2022-01-05;74;1;7;0;15;False
2022-01-06;71;0;3;0;12;False
2022-01-07;69;1;5;0;12;False
2022-01-08;60;1;0;0;14;False
2022-01-09;60;2;2;0;10;False
2022-01-10;100;0;4;0;18;False
2022-01-11;83;0;5;0;15;False
2022-01-12;76;2;3;0;13;False
2022-01-13;78;0;4;1;19;False
2022-01-14;66;0;3;2;16;False
2022-01-15;47;2;3;0;13;False
2022-01-16;59;2;5;1;14;False
2022-01-17;71;2;3;0;12;False
2022-01-18;76;0;5;0;11;False
2022-01-19;76;2;3;0;14;False
2022-01-20;68;1;3;0;10;False
2022-01-21;62;1;3;0;7;False
2022-01-22;44;0;0;0;10;False
2022-01-23;62;0;0;0;13;False
2022-01-24;92;0;2;2;18;False
2022-01-25;72;1;2;0;9;False
2022-01-26;70;0;5;0;12;False
2022-01-27;70;0;5;0;14;False
2022-01-28;67;1;3;1;9;False
2022-01-29;42;0;0;0;11;False
2022-01-30;54;1;4;0;14;False
2022-01-31;79;1;5;0;16;False
