date;Food & drink industry;Supply chain crisis;Consumer affairs;Socialism;air travel;isPartial
2022-01-01;0;0;0;26;34;False
2022-01-02;0;0;11;37;63;False
2022-01-03;0;0;0;12;51;False
2022-01-04;0;0;6;38;54;False
2022-01-05;0;5;0;40;77;False
2022-01-06;0;0;0;54;61;False
2022-01-07;0;0;0;20;63;False
2022-01-08;0;0;0;37;71;False
2022-01-09;0;0;0;27;55;False
2022-01-10;0;0;5;33;97;False
2022-01-11;0;0;4;42;79;False
2022-01-12;0;0;4;40;67;False
2022-01-13;0;0;0;31;100;False
2022-01-14;0;6;0;36;84;False
2022-01-15;0;19;0;34;66;False
2022-01-16;0;6;0;51;72;False
2022-01-17;0;0;0;35;65;False
2022-01-18;0;0;0;34;59;False
2022-01-19;0;0;0;21;74;False
2022-01-20;0;4;0;25;54;False
2022-01-21;0;0;0;41;38;False
2022-01-22;0;0;0;30;53;False
2022-01-23;0;0;0;45;69;False
2022-01-24;0;0;0;27;97;False
2022-01-25;0;0;5;28;49;False
2022-01-26;0;0;0;52;64;False
2022-01-27;0;0;10;46;71;False
2022-01-28;0;0;0;32;49;False
2022-01-29;0;7;13;7;60;False
2022-01-30;0;0;0;29;71;False
2022-01-31;0;0;0;47;82;False
