date;Vegetables;Seafood;Chinese food and drink;Cancer research;air travel;isPartial
2022-01-01;72;48;0;17;8;False
2022-01-02;86;57;1;11;15;False
2022-01-03;83;54;0;21;12;False
2022-01-04;66;42;0;20;13;False
2022-01-05;78;41;0;19;18;False
2022-01-06;70;40;0;19;14;False
2022-01-07;66;47;1;17;15;False
2022-01-08;73;60;0;17;17;False
2022-01-09;100;38;0;20;13;False
2022-01-10;85;47;0;25;23;False
2022-01-11;77;39;0;25;19;False
2022-01-12;72;37;0;16;16;False
2022-01-13;80;42;0;23;24;False
2022-01-14;65;48;1;14;20;False
2022-01-15;85;60;1;18;16;False
2022-01-16;97;49;2;16;17;False
2022-01-17;75;47;0;19;15;False
2022-01-18;72;36;0;19;14;False
2022-01-19;67;34;0;16;18;False
2022-01-20;71;42;0;19;13;False
2022-01-21;56;30;0;17;9;False
2022-01-22;77;50;0;12;12;False
2022-01-23;85;44;0;19;16;False
2022-01-24;82;41;1;26;23;False
2022-01-25;64;44;0;22;12;False
2022-01-26;65;38;0;19;15;False
2022-01-27;55;43;0;19;17;False
2022-01-28;53;36;0;24;12;False
2022-01-29;72;58;0;11;14;False
2022-01-30;81;40;1;16;17;False
2022-01-31;73;43;0;17;19;False
