date;Children's health;Borrowing & debt;Shops and shopping;Italian food and drink;air travel;isPartial
2022-01-01;7;0;5;0;34;False
2022-01-02;7;0;9;0;63;False
2022-01-03;13;0;0;14;51;False
2022-01-04;19;0;7;0;54;False
2022-01-05;16;0;0;0;77;False
2022-01-06;22;0;10;0;61;False
2022-01-07;17;0;0;0;63;False
2022-01-08;9;0;0;0;71;False
2022-01-09;6;0;6;0;55;False
2022-01-10;24;0;0;0;97;False
2022-01-11;21;0;0;0;79;False
2022-01-12;20;0;9;0;67;False
2022-01-13;11;0;0;0;100;False
2022-01-14;19;0;32;0;84;False
2022-01-15;8;0;8;0;66;False
2022-01-16;13;0;0;0;72;False
2022-01-17;12;0;0;0;65;False
2022-01-18;7;0;0;4;59;False
2022-01-19;26;0;19;0;74;False
2022-01-20;27;0;5;0;54;False
2022-01-21;6;0;6;0;38;False
2022-01-22;7;0;6;0;53;False
2022-01-23;11;0;13;0;69;False
2022-01-24;34;0;0;0;97;False
2022-01-25;14;0;4;0;49;False
2022-01-26;17;0;10;0;64;False
2022-01-27;21;0;0;0;71;False
2022-01-28;19;0;0;0;49;False
2022-01-29;6;0;0;0;60;False
2022-01-30;0;0;6;0;71;False
2022-01-31;30;0;11;0;82;False
