date;UK security and counter-terrorism;Counter-terrorism policy;Transport policy;Ferry travel;air travel;isPartial
2022-01-01;0;0;13;11;34;False
2022-01-02;0;0;5;15;63;False
2022-01-03;0;0;0;15;51;False
2022-01-04;0;0;0;14;54;False
2022-01-05;0;0;0;21;77;False
2022-01-06;0;0;0;0;61;False
2022-01-07;0;0;0;14;63;False
2022-01-08;0;0;0;0;71;False
2022-01-09;0;0;6;18;55;False
2022-01-10;0;0;0;17;97;False
2022-01-11;0;0;6;7;79;False
2022-01-12;0;0;9;26;67;False
2022-01-13;0;0;5;18;100;False
2022-01-14;0;0;0;19;84;False
2022-01-15;0;0;0;16;66;False
2022-01-16;0;0;14;13;72;False
2022-01-17;0;0;5;13;65;False
2022-01-18;0;0;0;12;59;False
2022-01-19;0;0;0;7;74;False
2022-01-20;0;0;0;8;54;False
2022-01-21;0;0;0;12;38;False
2022-01-22;0;0;0;12;53;False
2022-01-23;0;0;0;44;69;False
2022-01-24;0;0;0;17;97;False
2022-01-25;0;0;0;0;49;False
2022-01-26;0;0;0;8;64;False
2022-01-27;0;0;0;0;71;False
2022-01-28;0;0;0;9;49;False
2022-01-29;0;0;0;12;60;False
2022-01-30;0;0;0;18;71;False
2022-01-31;0;0;0;9;82;False
