date;Defence policy;Digital music and audio;Music streaming;La Liga;air travel;isPartial
2022-01-01;0;0;3;32;5;False
2022-01-02;0;0;2;100;10;False
2022-01-03;0;0;2;53;8;False
2022-01-04;0;0;4;35;9;False
2022-01-05;3;0;3;32;12;False
2022-01-06;0;0;2;26;10;False
2022-01-07;1;0;2;20;10;False
2022-01-08;0;0;3;70;11;False
2022-01-09;2;0;2;79;9;False
2022-01-10;0;0;5;26;15;False
2022-01-11;0;0;2;16;12;False
2022-01-12;0;0;3;38;11;False
2022-01-13;0;0;2;31;16;False
2022-01-14;0;0;3;20;13;False
2022-01-15;0;0;2;38;10;False
2022-01-16;0;0;2;43;11;False
2022-01-17;0;0;2;18;10;False
2022-01-18;0;0;3;25;9;False
2022-01-19;0;0;2;26;12;False
2022-01-20;1;0;2;33;9;False
2022-01-21;1;0;2;23;6;False
2022-01-22;0;0;2;67;8;False
2022-01-23;0;0;0;81;11;False
2022-01-24;2;0;2;33;15;False
2022-01-25;1;0;2;22;8;False
2022-01-26;0;0;2;19;10;False
2022-01-27;0;0;6;13;11;False
2022-01-28;0;0;5;13;8;False
2022-01-29;0;0;6;22;9;False
2022-01-30;0;0;2;16;11;False
2022-01-31;0;0;4;17;13;False
