date;Day trips;New Zealand;Taliban;Podcasting;air travel;isPartial
2022-01-01;10;83;3;1;5;False
2022-01-02;11;86;4;0;9;False
2022-01-03;11;83;4;0;7;False
2022-01-04;12;88;4;1;8;False
2022-01-05;8;72;5;0;11;False
2022-01-06;10;58;4;0;9;False
2022-01-07;9;68;2;1;9;False
2022-01-08;12;68;5;1;10;False
2022-01-09;15;83;4;2;8;False
2022-01-10;12;85;5;0;14;False
2022-01-11;11;73;4;0;11;False
2022-01-12;10;59;8;0;10;False
2022-01-13;12;63;6;0;14;False
2022-01-14;10;55;4;0;12;False
2022-01-15;16;92;3;0;9;False
2022-01-16;13;95;6;1;10;False
2022-01-17;12;75;4;2;9;False
2022-01-18;10;69;5;1;8;False
2022-01-19;12;66;3;0;11;False
2022-01-20;7;64;4;1;8;False
2022-01-21;12;60;2;0;5;False
2022-01-22;17;57;4;0;8;False
2022-01-23;18;100;7;1;10;False
2022-01-24;14;86;8;1;14;False
2022-01-25;12;60;5;0;7;False
2022-01-26;12;60;4;0;9;False
2022-01-27;12;72;4;1;10;False
2022-01-28;10;71;5;1;7;False
2022-01-29;11;73;3;0;9;False
2022-01-30;16;65;4;1;10;False
2022-01-31;14;59;5;0;12;False
