date;Italy;Sweden;Meat industry;Food science;air travel;isPartial
2022-01-01;65;15;0;1;2;False
2022-01-02;74;16;0;0;4;False
2022-01-03;82;18;0;2;3;False
2022-01-04;68;17;0;2;3;False
2022-01-05;79;18;0;1;5;False
2022-01-06;83;18;0;1;4;False
2022-01-07;78;16;0;1;4;False
2022-01-08;88;16;0;1;4;False
2022-01-09;97;18;0;1;3;False
2022-01-10;85;21;0;0;6;False
2022-01-11;79;19;0;1;5;False
2022-01-12;71;18;0;1;4;False
2022-01-13;84;20;0;1;6;False
2022-01-14;66;17;0;0;5;False
2022-01-15;82;18;0;1;4;False
2022-01-16;92;15;0;1;4;False
2022-01-17;85;18;0;2;4;False
2022-01-18;75;15;0;1;4;False
2022-01-19;71;18;0;1;5;False
2022-01-20;74;17;1;1;3;False
2022-01-21;71;19;0;1;2;False
2022-01-22;80;15;0;1;3;False
2022-01-23;92;18;1;1;4;False
2022-01-24;100;24;0;1;6;False
2022-01-25;81;18;0;1;3;False
2022-01-26;73;17;0;1;4;False
2022-01-27;74;19;0;1;4;False
2022-01-28;78;20;0;1;3;False
2022-01-29;83;15;0;2;4;False
2022-01-30;85;16;0;1;4;False
2022-01-31;81;18;0;2;5;False
