date;Architecture;Universities;Queensland politics;Annastacia Palaszczuk;air travel;isPartial
2022-01-01;40;31;0;0;8;False
2022-01-02;49;42;0;0;14;False
2022-01-03;44;43;0;0;12;False
2022-01-04;74;44;0;0;12;False
2022-01-05;68;53;0;0;18;False
2022-01-06;71;45;0;0;14;False
2022-01-07;71;42;0;0;15;False
2022-01-08;43;45;0;2;16;False
2022-01-09;62;55;0;0;13;False
2022-01-10;90;54;0;1;22;False
2022-01-11;87;63;0;0;18;False
2022-01-12;88;56;0;0;16;False
2022-01-13;78;58;0;0;23;False
2022-01-14;63;56;0;0;19;False
2022-01-15;52;48;0;0;15;False
2022-01-16;80;58;0;0;17;False
2022-01-17;97;52;0;0;15;False
2022-01-18;78;53;0;0;14;False
2022-01-19;68;53;0;3;17;False
2022-01-20;79;53;0;0;12;False
2022-01-21;73;52;0;0;9;False
2022-01-22;46;44;0;1;12;False
2022-01-23;62;47;0;0;16;False
2022-01-24;100;74;0;0;22;False
2022-01-25;90;69;0;0;11;False
2022-01-26;80;57;0;0;15;False
2022-01-27;75;41;0;0;16;False
2022-01-28;72;68;0;1;11;False
2022-01-29;51;38;0;0;14;False
2022-01-30;59;36;0;0;16;False
2022-01-31;82;43;0;0;19;False
