date;Royal Court theatre;Vicky Featherstone;Experimental music;Health, mind and body books;air travel;isPartial
2022-01-01;0;0;7;0;34;False
2022-01-02;16;8;0;0;63;False
2022-01-03;8;0;0;0;51;False
2022-01-04;17;0;0;0;54;False
2022-01-05;10;0;0;0;77;False
2022-01-06;0;0;0;0;61;False
2022-01-07;4;0;0;0;63;False
2022-01-08;10;15;0;0;71;False
2022-01-09;9;0;0;0;55;False
2022-01-10;7;5;11;0;97;False
2022-01-11;5;5;0;0;79;False
2022-01-12;13;0;0;0;67;False
2022-01-13;9;0;9;0;100;False
2022-01-14;33;12;0;0;84;False
2022-01-15;0;0;0;0;66;False
2022-01-16;13;0;8;0;72;False
2022-01-17;8;0;0;0;65;False
2022-01-18;0;0;0;0;59;False
2022-01-19;8;0;5;0;74;False
2022-01-20;0;0;0;0;54;False
2022-01-21;11;0;0;0;38;False
2022-01-22;11;0;6;0;53;False
2022-01-23;20;0;0;0;69;False
2022-01-24;19;0;0;0;97;False
2022-01-25;13;0;0;0;49;False
2022-01-26;14;6;0;0;64;False
2022-01-27;8;0;0;0;71;False
2022-01-28;17;0;0;0;49;False
2022-01-29;9;0;0;0;60;False
2022-01-30;6;0;0;0;71;False
2022-01-31;0;0;0;0;82;False
