date;theresa may;engineering;jeffrey epstein death;soviet union;air travel;isPartial
2022-01-01;3;30;1;2;3;False
2022-01-02;1;38;1;2;6;False
2022-01-03;0;48;1;2;4;False
2022-01-04;2;75;1;2;5;False
2022-01-05;3;76;1;3;7;False
2022-01-06;2;79;0;3;5;False
2022-01-07;1;69;1;3;5;False
2022-01-08;1;44;0;2;6;False
2022-01-09;2;50;1;3;4;False
2022-01-10;2;73;0;2;8;False
2022-01-11;4;80;0;2;6;False
2022-01-12;10;81;0;4;6;False
2022-01-13;9;84;0;2;7;False
2022-01-14;7;73;0;3;6;False
2022-01-15;5;43;0;3;6;False
2022-01-16;4;50;1;3;7;False
2022-01-17;4;80;0;3;5;False
2022-01-18;4;80;2;2;4;False
2022-01-19;7;73;0;2;6;False
2022-01-20;3;81;0;2;4;False
2022-01-21;4;76;0;5;4;False
2022-01-22;2;46;0;3;4;False
2022-01-23;2;49;0;2;6;False
2022-01-24;2;100;0;6;7;False
2022-01-25;2;90;0;6;4;False
2022-01-26;3;81;0;4;6;False
2022-01-27;2;83;0;2;5;False
2022-01-28;4;70;0;4;5;False
2022-01-29;3;47;0;4;4;False
2022-01-30;2;43;0;4;6;False
2022-01-31;33;78;0;4;7;False
