date;astronauts;sao paulo;adoption;space launch system (sls);air travel;isPartial
2022-01-01;3;6;71;0;14;False
2022-01-02;10;16;84;0;27;False
2022-01-03;0;15;79;0;21;False
2022-01-04;0;18;56;0;22;False
2022-01-05;8;17;59;0;31;False
2022-01-06;6;23;83;0;24;False
2022-01-07;3;21;80;0;23;False
2022-01-08;7;10;80;0;28;False
2022-01-09;10;16;88;0;18;False
2022-01-10;4;19;82;0;36;False
2022-01-11;13;26;87;0;26;False
2022-01-12;8;15;87;0;29;False
2022-01-13;3;21;86;0;34;False
2022-01-14;8;15;65;0;29;False
2022-01-15;0;17;100;0;29;False
2022-01-16;10;15;85;0;33;False
2022-01-17;6;19;81;0;21;False
2022-01-18;5;13;75;0;19;False
2022-01-19;5;17;90;0;28;False
2022-01-20;8;22;78;0;19;False
2022-01-21;7;5;62;0;18;False
2022-01-22;8;17;94;0;17;False
2022-01-23;11;24;81;0;29;False
2022-01-24;8;26;85;0;33;False
2022-01-25;3;19;71;0;20;False
2022-01-26;10;19;87;0;26;False
2022-01-27;6;13;72;0;24;False
2022-01-28;17;11;72;0;25;False
2022-01-29;2;16;78;0;20;False
2022-01-30;8;18;74;0;26;False
2022-01-31;9;22;68;0;31;False
