date;dua lipa;portsmouth;tom watson;derbyshire;air travel;isPartial
2022-01-01;16;62;21;24;2;False
2022-01-02;8;63;14;25;4;False
2022-01-03;7;89;8;29;4;False
2022-01-04;6;75;4;35;4;False
2022-01-05;6;64;4;28;5;False
2022-01-06;6;61;2;30;4;False
2022-01-07;8;89;2;32;4;False
2022-01-08;7;71;4;26;4;False
2022-01-09;9;67;3;30;3;False
2022-01-10;8;71;1;33;5;False
2022-01-11;6;78;2;29;4;False
2022-01-12;9;62;2;30;5;False
2022-01-13;8;63;2;32;5;False
2022-01-14;8;62;2;27;5;False
2022-01-15;11;80;2;25;4;False
2022-01-16;11;74;1;32;5;False
2022-01-17;6;70;1;34;4;False
2022-01-18;6;72;2;31;4;False
2022-01-19;5;63;1;28;5;False
2022-01-20;6;59;1;31;2;False
2022-01-21;7;69;1;30;2;False
2022-01-22;7;80;0;24;4;False
2022-01-23;7;70;1;28;5;False
2022-01-24;7;83;0;36;5;False
2022-01-25;5;59;0;27;3;False
2022-01-26;6;63;1;30;4;False
2022-01-27;6;57;0;25;3;False
2022-01-28;8;67;1;27;3;False
2022-01-29;8;77;0;32;3;False
2022-01-30;6;75;0;29;4;False
2022-01-31;5;100;0;33;5;False
