date;royal family;migrant crisis;pyongyang;liverpool terror attack;air travel;isPartial
2022-01-01;78;0;4;0;11;False
2022-01-02;60;0;2;0;23;False
2022-01-03;65;0;0;2;22;False
2022-01-04;55;0;2;3;23;False
2022-01-05;49;0;0;0;30;False
2022-01-06;52;2;0;0;24;False
2022-01-07;51;0;0;0;26;False
2022-01-08;58;3;5;0;25;False
2022-01-09;75;2;0;0;19;False
2022-01-10;48;0;0;0;32;False
2022-01-11;42;0;2;0;26;False
2022-01-12;56;0;0;0;31;False
2022-01-13;100;0;0;0;31;False
2022-01-14;93;0;0;0;31;False
2022-01-15;69;0;0;0;26;False
2022-01-16;78;4;0;0;30;False
2022-01-17;52;0;6;0;21;False
2022-01-18;45;5;2;0;23;False
2022-01-19;47;2;4;0;30;False
2022-01-20;41;0;0;0;14;False
2022-01-21;51;0;5;0;10;False
2022-01-22;61;0;0;3;25;False
2022-01-23;62;0;3;0;28;False
2022-01-24;66;2;4;0;31;False
2022-01-25;48;0;1;1;18;False
2022-01-26;52;13;0;4;24;False
2022-01-27;36;0;0;0;20;False
2022-01-28;41;7;2;0;18;False
2022-01-29;53;2;0;0;19;False
2022-01-30;54;0;0;0;24;False
2022-01-31;47;0;2;0;31;False
