date;utah;Radio 2;royal dutch shell;Class issues;air travel;isPartial
2023-01-01;13;36;0;1;7;False
2023-01-02;8;27;0;0;8;False
2023-01-03;13;38;2;0;5;False
2023-01-04;9;42;1;0;8;False
2023-01-05;14;40;1;1;7;False
2023-01-06;12;41;1;0;7;False
2023-01-07;10;33;0;0;5;False
2023-01-08;12;28;1;1;8;False
2023-01-09;7;44;1;2;5;False
2023-01-10;7;47;1;0;7;False
2023-01-11;9;46;1;0;8;False
2023-01-12;9;47;1;0;7;False
2023-01-13;7;49;0;0;6;False
2023-01-14;11;38;1;0;5;False
2023-01-15;9;28;1;0;6;False
2023-01-16;7;40;1;0;6;False
2023-01-17;8;100;1;0;5;False
2023-01-18;7;64;0;0;7;False
2023-01-19;8;61;1;2;7;False
2023-01-20;7;47;2;0;5;False
2023-01-21;10;40;0;1;6;False
2023-01-22;7;40;2;0;6;False
2023-01-23;8;41;1;1;7;False
2023-01-24;11;52;1;0;5;False
2023-01-25;7;46;1;0;7;False
2023-01-26;9;47;0;1;6;False
2023-01-27;8;51;0;1;4;False
2023-01-28;7;36;0;0;6;False
2023-01-29;7;31;1;0;6;False
2023-01-30;9;51;2;0;9;False
2023-01-31;7;48;2;0;8;False
