date;Race & religion;Marlon Brando;Kiribati;Careers;air travel;isPartial
2023-01-01;0;2;1;36;4;False
2023-01-02;0;1;1;56;5;False
2023-01-03;0;0;0;87;3;False
2023-01-04;0;2;0;90;5;False
2023-01-05;0;1;1;83;4;False
2023-01-06;0;1;1;80;4;False
2023-01-07;0;2;1;50;3;False
2023-01-08;0;1;1;55;5;False
2023-01-09;0;2;0;88;3;False
2023-01-10;0;1;0;91;4;False
2023-01-11;0;3;1;86;5;False
2023-01-12;0;2;1;89;4;False
2023-01-13;0;2;0;73;3;False
2023-01-14;0;3;1;49;3;False
2023-01-15;0;1;1;52;4;False
2023-01-16;0;2;1;95;4;False
2023-01-17;0;2;1;89;3;False
2023-01-18;0;1;0;90;4;False
2023-01-19;0;1;0;91;4;False
2023-01-20;0;1;1;81;3;False
2023-01-21;0;3;0;51;3;False
2023-01-22;0;2;1;56;4;False
2023-01-23;0;1;1;94;4;False
2023-01-24;0;1;1;95;3;False
2023-01-25;0;1;1;92;4;False
2023-01-26;0;1;1;84;4;False
2023-01-27;0;1;1;75;3;False
2023-01-28;0;3;1;50;4;False
2023-01-29;0;2;1;55;3;False
2023-01-30;0;2;1;100;6;False
2023-01-31;0;2;1;94;5;False
