date;Harry Potter and the Cursed Child;Brighton;Cyndi Lauper;Family law;air travel;isPartial
2023-01-01;0;28;0;0;1;False
2023-01-02;0;28;0;1;1;False
2023-01-03;0;45;0;1;1;False
2023-01-04;0;27;0;1;1;False
2023-01-05;0;24;0;1;1;False
2023-01-06;0;25;0;1;1;False
2023-01-07;0;32;0;0;1;False
2023-01-08;0;25;0;1;1;False
2023-01-09;0;23;0;1;0;False
2023-01-10;0;23;0;1;1;False
2023-01-11;0;23;0;1;1;False
2023-01-12;0;24;0;1;1;False
2023-01-13;0;25;0;1;1;False
2023-01-14;0;83;1;0;1;False
2023-01-15;0;29;0;1;1;False
2023-01-16;0;25;0;1;1;False
2023-01-17;0;23;0;1;1;False
2023-01-18;0;24;0;1;1;False
2023-01-19;0;25;0;1;1;False
2023-01-20;0;26;1;1;1;False
2023-01-21;0;46;1;1;1;False
2023-01-22;0;27;0;1;1;False
2023-01-23;0;26;0;1;1;False
2023-01-24;0;23;0;1;1;False
2023-01-25;0;24;0;1;1;False
2023-01-26;0;27;0;1;1;False
2023-01-27;0;29;0;1;0;False
2023-01-28;0;31;0;1;1;False
2023-01-29;0;100;0;0;1;False
2023-01-30;0;30;0;1;1;False
2023-01-31;0;27;0;1;1;False
