date;Lobbying;Water transport;International Space Station;knife crime;air travel;isPartial
2023-01-01;15;0;14;14;76;False
2023-01-02;11;20;0;21;90;False
2023-01-03;12;10;10;27;59;False
2023-01-04;10;7;20;17;89;False
2023-01-05;0;8;0;29;73;False
2023-01-06;8;10;12;19;73;False
2023-01-07;6;6;22;7;53;False
2023-01-08;5;11;13;45;84;False
2023-01-09;18;8;0;31;50;False
2023-01-10;9;5;8;36;79;False
2023-01-11;15;0;5;27;90;False
2023-01-12;12;21;22;39;75;False
2023-01-13;12;0;5;14;60;False
2023-01-14;0;18;13;27;56;False
2023-01-15;9;19;19;21;66;False
2023-01-16;0;4;0;33;68;False
2023-01-17;0;27;12;38;56;False
2023-01-18;18;8;16;33;80;False
2023-01-19;0;14;7;22;73;False
2023-01-20;13;20;37;12;59;False
2023-01-21;14;5;28;18;63;False
2023-01-22;6;6;26;21;70;False
2023-01-23;0;13;12;26;72;False
2023-01-24;10;8;14;34;55;False
2023-01-25;17;18;18;36;75;False
2023-01-26;9;17;37;35;68;False
2023-01-27;7;11;23;18;47;False
2023-01-28;0;8;14;26;66;False
2023-01-29;5;7;9;26;60;False
2023-01-30;6;8;38;33;100;False
2023-01-31;7;9;19;29;84;False
