date;Wim Wenders;Ultrarunning;earthquakes;Elton John;air travel;isPartial
2023-01-01;0;0;32;97;23;False
2023-01-02;0;0;18;58;27;False
2023-01-03;2;0;12;37;18;False
2023-01-04;2;0;53;38;27;False
2023-01-05;0;0;36;82;22;False
2023-01-06;0;2;19;71;22;False
2023-01-07;2;2;7;100;16;False
2023-01-08;2;0;18;69;25;False
2023-01-09;4;0;21;53;15;False
2023-01-10;0;3;10;55;24;False
2023-01-11;0;1;19;44;27;False
2023-01-12;0;0;18;54;22;False
2023-01-13;0;0;10;52;18;False
2023-01-14;0;0;3;82;17;False
2023-01-15;0;1;10;59;20;False
2023-01-16;2;0;15;47;20;False
2023-01-17;0;4;19;42;17;False
2023-01-18;0;0;15;49;24;False
2023-01-19;0;3;19;46;22;False
2023-01-20;0;0;14;55;18;False
2023-01-21;0;0;16;74;19;False
2023-01-22;0;0;12;68;21;False
2023-01-23;0;0;18;39;22;False
2023-01-24;0;0;16;53;16;False
2023-01-25;0;2;17;33;23;False
2023-01-26;2;0;20;45;20;False
2023-01-27;2;0;9;55;14;False
2023-01-28;0;0;11;95;20;False
2023-01-29;2;0;14;64;18;False
2023-01-30;2;0;16;28;30;False
2023-01-31;0;0;12;40;25;False
