date;Opinion polls;Banking;Amtrak;Students;air travel;isPartial
2023-01-01;1;54;0;14;2;False
2023-01-02;1;71;1;21;3;False
2023-01-03;1;100;1;24;2;False
2023-01-04;1;83;0;23;3;False
2023-01-05;2;86;1;24;2;False
2023-01-06;2;85;0;23;2;False
2023-01-07;1;59;1;18;2;False
2023-01-08;1;59;0;22;2;False
2023-01-09;1;91;1;26;1;False
2023-01-10;1;83;1;26;2;False
2023-01-11;1;75;1;26;3;False
2023-01-12;2;80;1;29;2;False
2023-01-13;1;83;1;28;2;False
2023-01-14;1;62;0;18;2;False
2023-01-15;1;60;0;20;2;False
2023-01-16;1;85;0;27;2;False
2023-01-17;1;78;1;24;2;False
2023-01-18;1;80;0;24;2;False
2023-01-19;1;78;1;27;2;False
2023-01-20;1;88;1;25;2;False
2023-01-21;1;65;1;18;2;False
2023-01-22;2;56;0;22;2;False
2023-01-23;1;90;0;27;2;False
2023-01-24;1;85;1;27;2;False
2023-01-25;2;84;0;27;2;False
2023-01-26;1;80;1;25;2;False
2023-01-27;1;96;0;25;1;False
2023-01-28;1;64;1;19;2;False
2023-01-29;1;61;1;23;2;False
2023-01-30;1;96;1;28;3;False
2023-01-31;1;99;0;26;2;False
