date;Adelaide holidays;Gilts;Melbourne;Folk dancing;air travel;isPartial
2023-01-01;2;0;45;0;7;False
2023-01-02;1;1;43;0;8;False
2023-01-03;0;1;47;1;5;False
2023-01-04;2;2;44;0;8;False
2023-01-05;0;1;40;0;6;False
2023-01-06;0;3;38;0;7;False
2023-01-07;0;0;36;0;5;False
2023-01-08;1;2;43;0;8;False
2023-01-09;0;1;41;1;4;False
2023-01-10;0;2;41;0;7;False
2023-01-11;0;1;46;1;8;False
2023-01-12;1;2;49;1;7;False
2023-01-13;0;1;44;1;5;False
2023-01-14;0;2;48;0;5;False
2023-01-15;0;1;46;0;6;False
2023-01-16;0;3;52;0;6;False
2023-01-17;0;2;57;0;5;False
2023-01-18;0;2;52;0;7;False
2023-01-19;0;1;100;0;6;False
2023-01-20;0;2;52;1;5;False
2023-01-21;0;1;62;0;6;False
2023-01-22;0;1;51;1;6;False
2023-01-23;0;2;45;1;6;False
2023-01-24;0;2;43;0;5;False
2023-01-25;0;2;44;1;7;False
2023-01-26;0;1;39;1;6;False
2023-01-27;1;3;41;0;4;False
2023-01-28;0;1;37;0;6;False
2023-01-29;0;1;52;0;5;False
2023-01-30;0;1;37;0;9;False
2023-01-31;0;2;35;0;7;False
