date;Kylie Jenner;Ben Stiller;Energy efficiency;Rallying;air travel;isPartial
2023-01-01;20;15;5;0;14;False
2023-01-02;22;11;8;0;17;False
2023-01-03;23;7;7;2;11;False
2023-01-04;22;9;7;2;16;False
2023-01-05;20;10;6;1;13;False
2023-01-06;20;12;7;1;13;False
2023-01-07;31;13;5;0;10;False
2023-01-08;50;11;4;0;15;False
2023-01-09;31;10;7;0;9;False
2023-01-10;21;7;8;2;14;False
2023-01-11;17;5;9;1;16;False
2023-01-12;21;6;9;0;14;False
2023-01-13;19;8;8;2;11;False
2023-01-14;27;10;3;3;10;False
2023-01-15;21;11;6;1;12;False
2023-01-16;20;9;9;0;12;False
2023-01-17;21;8;9;1;10;False
2023-01-18;27;7;8;2;15;False
2023-01-19;21;9;5;2;13;False
2023-01-20;15;7;7;0;11;False
2023-01-21;69;11;4;1;11;False
2023-01-22;100;7;10;2;13;False
2023-01-23;87;6;11;4;13;False
2023-01-24;67;13;7;0;10;False
2023-01-25;53;8;7;1;14;False
2023-01-26;40;4;2;1;12;False
2023-01-27;35;8;11;1;9;False
2023-01-28;30;6;4;1;12;False
2023-01-29;25;7;6;5;11;False
2023-01-30;23;5;9;0;18;False
2023-01-31;28;5;6;1;15;False
