date;Alan Joyce;alphabet;gwen stefani;Mexico;air travel;isPartial
2023-01-01;1;34;6;69;5;False
2023-01-02;0;34;4;71;6;False
2023-01-03;0;38;3;70;4;False
2023-01-04;0;38;2;64;6;False
2023-01-05;0;39;2;64;5;False
2023-01-06;0;41;3;100;5;False
2023-01-07;0;34;3;73;4;False
2023-01-08;0;34;4;90;6;False
2023-01-09;0;40;2;71;3;False
2023-01-10;1;42;4;83;6;False
2023-01-11;0;43;15;69;6;False
2023-01-12;0;45;6;66;5;False
2023-01-13;1;39;8;69;4;False
2023-01-14;0;36;5;70;4;False
2023-01-15;0;33;3;78;5;False
2023-01-16;0;42;1;71;5;False
2023-01-17;0;41;4;64;4;False
2023-01-18;0;42;3;66;6;False
2023-01-19;0;43;1;62;5;False
2023-01-20;0;46;5;64;4;False
2023-01-21;0;38;7;66;4;False
2023-01-22;0;40;7;71;5;False
2023-01-23;0;43;6;64;5;False
2023-01-24;1;44;5;61;4;False
2023-01-25;0;44;4;59;5;False
2023-01-26;1;42;5;53;5;False
2023-01-27;1;38;3;56;3;False
2023-01-28;0;32;1;58;5;False
2023-01-29;0;32;2;66;4;False
2023-01-30;0;39;1;56;7;False
2023-01-31;0;39;3;56;6;False
