date;Interest rates;Kentucky;Turkey;Vegetables;air travel;isPartial
2023-01-01;15;5;100;19;3;False
2023-01-02;18;4;88;21;4;False
2023-01-03;24;4;80;16;2;False
2023-01-04;25;3;74;18;3;False
2023-01-05;25;3;73;16;3;False
2023-01-06;26;3;74;13;3;False
2023-01-07;18;4;78;19;2;False
2023-01-08;21;4;93;21;3;False
2023-01-09;21;4;73;16;2;False
2023-01-10;22;3;71;16;3;False
2023-01-11;21;3;67;16;3;False
2023-01-12;22;3;76;17;3;False
2023-01-13;21;2;68;13;2;False
2023-01-14;17;3;75;16;2;False
2023-01-15;19;3;83;19;3;False
2023-01-16;19;5;68;16;3;False
2023-01-17;24;2;71;16;2;False
2023-01-18;24;2;67;15;3;False
2023-01-19;20;2;67;15;3;False
2023-01-20;20;4;66;15;2;False
2023-01-21;17;3;79;14;2;False
2023-01-22;16;4;82;20;3;False
2023-01-23;22;3;72;16;3;False
2023-01-24;32;3;71;18;2;False
2023-01-25;27;5;68;16;3;False
2023-01-26;23;4;59;15;3;False
2023-01-27;20;3;62;12;2;False
2023-01-28;17;3;67;14;3;False
2023-01-29;20;3;84;19;2;False
2023-01-30;28;3;69;14;4;False
2023-01-31;33;3;64;15;3;False
