date;Nicolas Winding Refn;Business TV;Gas stoves;McDonald's;air travel;isPartial
2023-01-01;0;1;0;100;3;False
2023-01-02;0;1;1;53;3;False
2023-01-03;0;1;1;44;2;False
2023-01-04;1;1;0;40;3;False
2023-01-05;0;0;0;36;3;False
2023-01-06;0;0;0;40;3;False
2023-01-07;0;1;0;41;2;False
2023-01-08;0;1;0;48;3;False
2023-01-09;0;1;0;33;2;False
2023-01-10;0;0;1;32;3;False
2023-01-11;0;1;1;32;3;False
2023-01-12;0;1;1;34;3;False
2023-01-13;0;0;1;40;2;False
2023-01-14;0;1;1;47;2;False
2023-01-15;0;1;2;49;2;False
2023-01-16;0;0;1;33;3;False
2023-01-17;0;1;0;30;2;False
2023-01-18;0;0;0;33;3;False
2023-01-19;0;1;0;37;3;False
2023-01-20;0;1;1;41;2;False
2023-01-21;0;1;1;49;2;False
2023-01-22;0;0;0;43;3;False
2023-01-23;1;1;1;32;3;False
2023-01-24;0;1;0;33;2;False
2023-01-25;0;2;0;35;3;False
2023-01-26;0;1;1;33;3;False
2023-01-27;1;0;0;39;2;False
2023-01-28;0;1;0;50;2;False
2023-01-29;0;0;1;50;2;False
2023-01-30;0;0;0;34;4;False
2023-01-31;0;1;0;38;3;False
