date;domestic abuse;Census;LIV Golf Series;Adam McKay;air travel;isPartial
2023-01-01;7;13;0;1;9;False
2023-01-02;10;14;0;0;10;False
2023-01-03;15;16;1;0;7;False
2023-01-04;13;18;0;1;10;False
2023-01-05;16;21;0;1;8;False
2023-01-06;14;100;0;1;8;False
2023-01-07;9;53;0;1;6;False
2023-01-08;8;37;0;3;10;False
2023-01-09;15;31;1;0;6;False
2023-01-10;15;27;0;0;9;False
2023-01-11;14;23;0;0;10;False
2023-01-12;13;18;0;1;9;False
2023-01-13;12;20;1;1;7;False
2023-01-14;10;15;0;1;6;False
2023-01-15;13;13;0;2;8;False
2023-01-16;14;23;0;0;8;False
2023-01-17;19;23;0;1;6;False
2023-01-18;16;30;0;0;9;False
2023-01-19;18;33;0;0;8;False
2023-01-20;12;24;0;1;7;False
2023-01-21;7;13;0;0;7;False
2023-01-22;8;15;0;2;8;False
2023-01-23;13;20;0;1;8;False
2023-01-24;16;21;0;1;6;False
2023-01-25;17;19;1;1;9;False
2023-01-26;18;17;0;0;8;False
2023-01-27;13;16;1;0;5;False
2023-01-28;9;12;0;0;8;False
2023-01-29;9;14;0;0;7;False
2023-01-30;16;20;0;1;11;False
2023-01-31;12;18;0;0;10;False
