date;Unai Emery;Sporting;Ministry of Defence;oscars;air travel;isPartial
2023-01-01;9;67;1;11;5;False
2023-01-02;3;47;1;7;6;False
2023-01-03;1;47;2;6;4;False
2023-01-04;2;47;1;6;6;False
2023-01-05;1;47;1;8;5;False
2023-01-06;0;53;2;7;5;False
2023-01-07;1;63;1;12;3;False
2023-01-08;3;54;1;9;6;False
2023-01-09;1;46;2;7;3;False
2023-01-10;1;50;2;8;5;False
2023-01-11;0;47;3;18;6;False
2023-01-12;2;49;1;11;5;False
2023-01-13;4;46;2;8;4;False
2023-01-14;1;68;1;9;4;False
2023-01-15;2;59;1;10;4;False
2023-01-16;0;48;2;11;4;False
2023-01-17;0;49;1;9;4;False
2023-01-18;0;51;1;7;5;False
2023-01-19;1;47;2;8;5;False
2023-01-20;1;59;2;8;4;False
2023-01-21;2;74;1;11;4;False
2023-01-22;2;47;1;11;5;False
2023-01-23;1;49;1;9;5;False
2023-01-24;2;51;2;71;4;False
2023-01-25;1;45;2;36;5;False
2023-01-26;0;52;1;21;4;False
2023-01-27;0;54;2;17;3;False
2023-01-28;2;100;1;21;4;False
2023-01-29;0;56;2;18;4;False
2023-01-30;1;50;2;14;7;False
2023-01-31;0;52;2;12;6;False
