date;Bradley Wiggins;Centrelink;Scottish League Cup;Geography and environment studies;air travel;isPartial
2023-01-01;0;0;2;0;11;False
2023-01-02;0;0;4;0;13;False
2023-01-03;2;0;3;0;9;False
2023-01-04;2;1;2;0;13;False
2023-01-05;1;0;6;0;11;False
2023-01-06;2;0;3;0;11;False
2023-01-07;4;0;8;0;8;False
2023-01-08;0;1;6;0;13;False
2023-01-09;0;0;6;0;7;False
2023-01-10;1;1;8;0;12;False
2023-01-11;1;1;4;0;13;False
2023-01-12;2;0;8;0;11;False
2023-01-13;0;0;9;0;9;False
2023-01-14;0;2;52;0;8;False
2023-01-15;2;1;100;0;10;False
2023-01-16;0;1;19;0;10;False
2023-01-17;0;0;6;0;8;False
2023-01-18;2;0;7;0;12;False
2023-01-19;3;0;6;0;11;False
2023-01-20;0;0;5;0;9;False
2023-01-21;18;2;15;0;9;False
2023-01-22;3;0;11;0;10;False
2023-01-23;3;1;7;0;11;False
2023-01-24;2;0;5;0;8;False
2023-01-25;1;0;4;0;11;False
2023-01-26;0;1;4;0;10;False
2023-01-27;2;0;3;0;7;False
2023-01-28;1;0;6;0;10;False
2023-01-29;2;0;3;0;9;False
2023-01-30;0;0;3;0;15;False
2023-01-31;2;2;1;0;13;False
