date;John Kerry;1922 Committee;nurses' strike;Eurostar;air travel;isPartial
2023-01-01;0;1;2;86;9;False
2023-01-02;0;0;7;91;11;False
2023-01-03;0;0;5;85;7;False
2023-01-04;2;0;5;79;10;False
2023-01-05;0;1;7;73;9;False
2023-01-06;0;0;3;66;9;False
2023-01-07;1;0;4;71;6;False
2023-01-08;0;0;5;84;10;False
2023-01-09;1;0;11;75;6;False
2023-01-10;0;3;10;91;9;False
2023-01-11;0;1;9;84;10;False
2023-01-12;1;1;8;74;9;False
2023-01-13;0;1;5;75;7;False
2023-01-14;1;0;6;81;7;False
2023-01-15;0;0;11;100;8;False
2023-01-16;0;1;15;83;8;False
2023-01-17;2;0;21;94;7;False
2023-01-18;2;0;55;78;9;False
2023-01-19;1;0;32;73;9;False
2023-01-20;3;0;13;70;7;False
2023-01-21;1;2;4;69;7;False
2023-01-22;1;0;5;79;8;False
2023-01-23;0;0;11;83;8;False
2023-01-24;0;0;5;87;6;False
2023-01-25;1;1;7;96;9;False
2023-01-26;1;0;3;77;8;False
2023-01-27;0;0;1;68;5;False
2023-01-28;1;1;3;70;8;False
2023-01-29;0;4;4;85;7;False
2023-01-30;0;0;4;74;12;False
2023-01-31;1;0;11;69;10;False
