date;Securities and Exchange Commission;Gareth Southgate;Paul Mescal;US debt ceiling;air travel;isPartial
2023-01-01;0;4;8;0;14;False
2023-01-02;0;4;6;0;17;False
2023-01-03;0;1;19;0;11;False
2023-01-04;0;1;25;1;17;False
2023-01-05;1;4;17;3;14;False
2023-01-06;0;1;24;0;14;False
2023-01-07;0;2;24;0;10;False
2023-01-08;0;1;23;0;16;False
2023-01-09;0;3;22;0;9;False
2023-01-10;0;2;19;0;15;False
2023-01-11;0;2;14;0;17;False
2023-01-12;0;0;11;4;14;False
2023-01-13;0;2;21;0;11;False
2023-01-14;0;3;24;0;11;False
2023-01-15;0;0;26;1;12;False
2023-01-16;0;1;23;0;13;False
2023-01-17;0;3;9;2;10;False
2023-01-18;0;1;12;4;15;False
2023-01-19;0;6;11;5;14;False
2023-01-20;2;1;12;5;11;False
2023-01-21;1;0;13;2;12;False
2023-01-22;0;8;8;0;13;False
2023-01-23;0;2;8;1;13;False
2023-01-24;0;0;78;1;10;False
2023-01-25;0;2;100;1;14;False
2023-01-26;2;19;64;0;13;False
2023-01-27;0;8;37;0;9;False
2023-01-28;0;1;30;0;12;False
2023-01-29;0;3;26;0;11;False
2023-01-30;0;2;20;0;19;False
2023-01-31;2;0;21;2;16;False
