date;Pharrell Williams;Democratic Unionist party (DUP);Africa;Services sector;air travel;isPartial
2023-01-01;1;0;41;0;3;False
2023-01-02;1;0;40;0;3;False
2023-01-03;0;0;47;0;2;False
2023-01-04;1;0;50;0;3;False
2023-01-05;1;0;48;0;2;False
2023-01-06;1;0;53;0;2;False
2023-01-07;0;0;46;0;2;False
2023-01-08;0;0;52;0;3;False
2023-01-09;0;0;46;0;2;False
2023-01-10;0;0;48;0;3;False
2023-01-11;0;0;48;0;3;False
2023-01-12;1;0;47;0;3;False
2023-01-13;0;0;46;0;2;False
2023-01-14;1;0;40;0;2;False
2023-01-15;1;0;47;0;2;False
2023-01-16;0;0;53;0;2;False
2023-01-17;0;0;54;0;2;False
2023-01-18;1;0;50;0;3;False
2023-01-19;0;0;48;0;2;False
2023-01-20;1;0;47;0;2;False
2023-01-21;1;0;42;0;2;False
2023-01-22;0;0;49;0;2;False
2023-01-23;0;0;52;1;2;False
2023-01-24;0;0;54;0;2;False
2023-01-25;0;0;50;0;3;False
2023-01-26;1;0;48;1;2;False
2023-01-27;1;0;86;1;2;False
2023-01-28;1;0;45;0;2;False
2023-01-29;1;0;100;0;2;False
2023-01-30;0;0;50;0;3;False
2023-01-31;0;0;53;0;3;False
