date;Zoe Ball;Ruth Rogers;Gaz Coombes;Diabetes;air travel;isPartial
2023-01-01;1;0;0;55;6;False
2023-01-02;1;0;0;66;7;False
2023-01-03;1;1;0;72;4;False
2023-01-04;1;1;1;76;7;False
2023-01-05;1;1;0;77;6;False
2023-01-06;2;2;1;76;6;False
2023-01-07;1;0;1;62;4;False
2023-01-08;1;0;0;67;6;False
2023-01-09;1;0;1;76;4;False
2023-01-10;3;0;1;100;6;False
2023-01-11;1;0;1;90;7;False
2023-01-12;2;0;2;86;6;False
2023-01-13;3;0;3;77;5;False
2023-01-14;2;0;3;62;4;False
2023-01-15;1;0;27;67;5;False
2023-01-16;1;1;3;82;5;False
2023-01-17;3;1;1;81;4;False
2023-01-18;3;0;1;85;6;False
2023-01-19;2;0;2;80;6;False
2023-01-20;2;0;2;73;5;False
2023-01-21;2;0;2;64;5;False
2023-01-22;1;1;1;65;5;False
2023-01-23;1;0;2;80;5;False
2023-01-24;4;0;1;84;4;False
2023-01-25;2;0;1;80;6;False
2023-01-26;2;0;13;79;5;False
2023-01-27;4;0;1;79;4;False
2023-01-28;3;1;1;63;5;False
2023-01-29;1;0;1;68;5;False
2023-01-30;25;0;0;79;8;False
2023-01-31;28;0;0;82;6;False
