date;Gloucestershire;Artificial intelligence (AI);Greek food and drink;Gabon;air travel;isPartial
2023-01-01;61;0;1;2;15;False
2023-01-02;81;5;0;0;18;False
2023-01-03;86;2;0;0;12;False
2023-01-04;84;0;3;2;18;False
2023-01-05;90;4;0;3;14;False
2023-01-06;71;0;0;0;15;False
2023-01-07;66;0;0;3;11;False
2023-01-08;79;0;0;4;17;False
2023-01-09;78;2;1;3;10;False
2023-01-10;88;2;0;4;16;False
2023-01-11;78;4;0;2;18;False
2023-01-12;89;0;0;2;15;False
2023-01-13;61;3;0;5;12;False
2023-01-14;63;2;0;2;11;False
2023-01-15;61;4;0;1;13;False
2023-01-16;94;0;0;6;14;False
2023-01-17;94;2;0;1;11;False
2023-01-18;77;4;0;2;16;False
2023-01-19;82;4;1;4;14;False
2023-01-20;90;2;0;6;12;False
2023-01-21;69;1;0;5;12;False
2023-01-22;60;2;1;3;14;False
2023-01-23;80;3;0;5;14;False
2023-01-24;81;3;0;33;11;False
2023-01-25;82;4;0;4;15;False
2023-01-26;74;4;0;5;13;False
2023-01-27;75;4;2;2;9;False
2023-01-28;64;2;0;1;13;False
2023-01-29;72;0;0;7;12;False
2023-01-30;90;4;2;5;20;False
2023-01-31;100;3;1;2;17;False
