date;Further education;Woody Allen;Conflict and arms;National Institute for Health and Care Excellence;air travel;isPartial
2023-01-01;25;31;0;0;76;False
2023-01-02;6;12;0;9;90;False
2023-01-03;49;11;0;13;59;False
2023-01-04;32;13;0;0;89;False
2023-01-05;44;18;0;10;73;False
2023-01-06;28;12;0;6;73;False
2023-01-07;31;30;0;0;53;False
2023-01-08;31;16;0;10;84;False
2023-01-09;45;11;0;0;50;False
2023-01-10;28;19;0;0;79;False
2023-01-11;27;39;0;0;90;False
2023-01-12;30;16;0;10;75;False
2023-01-13;18;25;0;0;60;False
2023-01-14;39;18;0;0;56;False
2023-01-15;23;11;0;0;66;False
2023-01-16;46;14;0;0;68;False
2023-01-17;32;13;0;0;56;False
2023-01-18;45;21;0;0;80;False
2023-01-19;42;11;0;0;73;False
2023-01-20;41;16;0;0;59;False
2023-01-21;31;12;0;0;63;False
2023-01-22;34;25;0;0;70;False
2023-01-23;33;12;0;0;72;False
2023-01-24;0;18;0;0;55;False
2023-01-25;24;0;0;0;75;False
2023-01-26;23;14;0;0;68;False
2023-01-27;37;24;0;0;47;False
2023-01-28;8;25;0;0;66;False
2023-01-29;5;47;0;0;60;False
2023-01-30;37;10;0;15;100;False
2023-01-31;27;33;0;0;84;False
