date;Relationships;Retirement age;Football violence;ufc;air travel;isPartial
2023-01-01;5;2;0;15;2;False
2023-01-02;5;2;0;14;2;False
2023-01-03;5;2;0;13;1;False
2023-01-04;6;3;0;12;2;False
2023-01-05;5;2;0;11;2;False
2023-01-06;5;2;0;13;2;False
2023-01-07;4;2;0;17;1;False
2023-01-08;6;2;0;18;2;False
2023-01-09;5;2;0;12;1;False
2023-01-10;6;4;0;13;2;False
2023-01-11;6;4;0;11;2;False
2023-01-12;6;4;0;13;2;False
2023-01-13;5;2;0;15;1;False
2023-01-14;5;2;0;38;1;False
2023-01-15;5;3;0;54;1;False
2023-01-16;6;2;0;20;1;False
2023-01-17;6;3;0;18;1;False
2023-01-18;6;3;0;19;2;False
2023-01-19;6;7;0;18;2;False
2023-01-20;5;6;0;28;1;False
2023-01-21;4;4;0;54;1;False
2023-01-22;5;4;0;100;2;False
2023-01-23;5;3;0;21;2;False
2023-01-24;6;6;0;18;1;False
2023-01-25;6;11;0;21;2;False
2023-01-26;5;6;0;24;1;False
2023-01-27;5;4;0;31;1;False
2023-01-28;4;3;0;31;1;False
2023-01-29;5;3;0;22;1;False
2023-01-30;6;3;0;15;2;False
2023-01-31;6;5;0;16;2;False
