date;Windows;Eggs;Rebecca Frecknall;Madonna;air travel;isPartial
2023-01-01;58;35;0;10;2;False
2023-01-02;66;40;0;6;2;False
2023-01-03;83;34;0;5;1;False
2023-01-04;86;34;0;5;2;False
2023-01-05;83;34;0;8;2;False
2023-01-06;84;32;0;6;2;False
2023-01-07;65;37;0;7;1;False
2023-01-08;69;44;0;7;2;False
2023-01-09;88;34;0;4;1;False
2023-01-10;89;33;0;5;2;False
2023-01-11;85;33;0;5;2;False
2023-01-12;92;35;0;8;2;False
2023-01-13;83;31;0;6;1;False
2023-01-14;65;36;0;8;1;False
2023-01-15;64;41;0;7;1;False
2023-01-16;100;33;0;7;2;False
2023-01-17;98;31;0;46;1;False
2023-01-18;91;32;0;40;2;False
2023-01-19;92;36;0;31;2;False
2023-01-20;84;28;0;61;1;False
2023-01-21;72;41;0;26;1;False
2023-01-22;67;43;0;15;2;False
2023-01-23;95;35;0;11;2;False
2023-01-24;93;35;0;8;1;False
2023-01-25;87;34;0;9;2;False
2023-01-26;78;32;0;9;2;False
2023-01-27;76;31;0;13;1;False
2023-01-28;61;38;0;11;1;False
2023-01-29;63;42;0;9;1;False
2023-01-30;85;34;0;7;2;False
2023-01-31;89;34;0;7;2;False
