date;Mercedes GP;oasis;voter id;drugs;air travel;isPartial
2023-01-01;0;54;0;63;7;False
2023-01-02;0;56;1;64;8;False
2023-01-03;0;53;1;70;5;False
2023-01-04;1;49;0;71;8;False
2023-01-05;0;53;0;73;7;False
2023-01-06;0;46;0;77;7;False
2023-01-07;0;47;1;66;5;False
2023-01-08;2;50;0;69;8;False
2023-01-09;1;48;6;84;5;False
2023-01-10;0;53;6;82;7;False
2023-01-11;0;46;7;81;8;False
2023-01-12;0;46;3;79;7;False
2023-01-13;0;49;5;100;6;False
2023-01-14;0;55;2;73;5;False
2023-01-15;0;55;3;77;6;False
2023-01-16;1;49;6;79;6;False
2023-01-17;0;47;7;75;5;False
2023-01-18;0;53;8;82;7;False
2023-01-19;0;52;7;75;7;False
2023-01-20;0;69;7;77;6;False
2023-01-21;0;63;2;69;6;False
2023-01-22;0;55;2;68;7;False
2023-01-23;0;55;5;78;7;False
2023-01-24;0;50;4;76;5;False
2023-01-25;0;47;6;75;7;False
2023-01-26;0;49;3;78;6;False
2023-01-27;0;59;3;72;4;False
2023-01-28;0;57;2;65;6;False
2023-01-29;0;54;2;73;6;False
2023-01-30;0;51;4;76;9;False
2023-01-31;0;55;6;73;8;False
