date;Arts Council England;Hampstead theatre;Silicon Valley;Folklore and mythology;air travel;isPartial
2023-01-01;0;0;23;0;76;False
2023-01-02;0;11;17;0;90;False
2023-01-03;0;12;15;0;59;False
2023-01-04;7;0;13;0;89;False
2023-01-05;0;0;22;0;73;False
2023-01-06;0;8;9;14;73;False
2023-01-07;9;0;21;0;53;False
2023-01-08;12;0;25;0;84;False
2023-01-09;0;7;17;0;50;False
2023-01-10;0;0;28;0;79;False
2023-01-11;5;6;23;5;90;False
2023-01-12;20;0;14;0;75;False
2023-01-13;8;17;14;0;60;False
2023-01-14;21;18;18;5;56;False
2023-01-15;6;0;25;0;66;False
2023-01-16;19;7;11;0;68;False
2023-01-17;6;12;0;0;56;False
2023-01-18;6;0;38;0;80;False
2023-01-19;21;0;37;9;73;False
2023-01-20;10;7;32;0;59;False
2023-01-21;0;10;26;0;63;False
2023-01-22;0;17;0;0;70;False
2023-01-23;0;13;19;0;72;False
2023-01-24;8;22;24;0;55;False
2023-01-25;6;9;34;0;75;False
2023-01-26;16;0;23;0;68;False
2023-01-27;0;23;32;0;47;False
2023-01-28;0;18;24;0;66;False
2023-01-29;0;10;9;0;60;False
2023-01-30;8;5;22;0;100;False
2023-01-31;15;11;28;20;84;False
