date;Camping holidays;asda;Jenny Jones;Formula One;air travel;isPartial
2023-01-01;0;100;0;0;0;False
2023-01-02;0;95;0;1;1;False
2023-01-03;0;49;0;0;0;False
2023-01-04;0;43;0;0;0;False
2023-01-05;0;47;0;0;0;False
2023-01-06;0;43;0;0;0;False
2023-01-07;0;49;0;0;0;False
2023-01-08;0;54;0;0;0;False
2023-01-09;0;43;0;0;0;False
2023-01-10;0;40;0;0;0;False
2023-01-11;0;41;0;0;1;False
2023-01-12;0;44;0;1;0;False
2023-01-13;0;47;0;1;0;False
2023-01-14;0;50;0;0;0;False
2023-01-15;0;50;0;0;0;False
2023-01-16;0;40;0;0;0;False
2023-01-17;0;38;0;0;0;False
2023-01-18;0;43;0;1;0;False
2023-01-19;0;42;0;1;0;False
2023-01-20;0;46;0;0;0;False
2023-01-21;0;47;0;0;0;False
2023-01-22;0;52;0;0;0;False
2023-01-23;0;44;0;1;0;False
2023-01-24;0;44;0;0;0;False
2023-01-25;0;42;0;1;0;False
2023-01-26;0;45;0;0;0;False
2023-01-27;0;46;0;0;0;False
2023-01-28;0;51;0;0;0;False
2023-01-29;0;51;0;0;0;False
2023-01-30;0;45;0;0;1;False
2023-01-31;0;44;0;0;0;False
