date;Coffee;Sussex;Veterinary science;Dragons' Den;air travel;isPartial
2023-01-01;87;21;0;3;2;False
2023-01-02;93;21;0;2;2;False
2023-01-03;76;27;0;2;1;False
2023-01-04;77;24;0;2;2;False
2023-01-05;77;25;0;16;1;False
2023-01-06;79;22;0;9;1;False
2023-01-07;85;20;0;5;1;False
2023-01-08;100;22;0;5;2;False
2023-01-09;73;26;0;3;1;False
2023-01-10;75;27;0;4;2;False
2023-01-11;71;25;0;3;2;False
2023-01-12;81;27;1;12;2;False
2023-01-13;72;25;0;6;1;False
2023-01-14;87;20;0;4;1;False
2023-01-15;92;20;0;4;1;False
2023-01-16;73;27;0;3;1;False
2023-01-17;72;25;0;4;1;False
2023-01-18;73;26;0;3;2;False
2023-01-19;74;22;0;13;1;False
2023-01-20;72;22;0;9;1;False
2023-01-21;90;21;0;5;1;False
2023-01-22;81;20;0;5;1;False
2023-01-23;75;27;0;4;1;False
2023-01-24;77;26;0;4;1;False
2023-01-25;76;22;0;4;2;False
2023-01-26;74;38;0;16;1;False
2023-01-27;71;26;0;8;1;False
2023-01-28;78;20;0;7;1;False
2023-01-29;83;22;0;6;1;False
2023-01-30;74;27;0;5;2;False
2023-01-31;72;29;0;4;2;False
