date;Morrissey;grant shapps;Young Fathers;London Symphony Orchestra;air travel;isPartial
2023-01-01;13;1;1;0;12;False
2023-01-02;8;1;0;0;15;False
2023-01-03;6;0;0;1;10;False
2023-01-04;7;2;1;2;14;False
2023-01-05;9;3;1;1;12;False
2023-01-06;11;4;1;1;12;False
2023-01-07;100;0;0;1;9;False
2023-01-08;20;2;0;0;14;False
2023-01-09;12;3;0;1;8;False
2023-01-10;14;31;3;0;13;False
2023-01-11;10;14;1;1;15;False
2023-01-12;13;2;2;1;12;False
2023-01-13;18;5;2;0;10;False
2023-01-14;11;3;0;0;9;False
2023-01-15;10;3;2;1;11;False
2023-01-16;10;3;1;2;11;False
2023-01-17;9;4;0;0;9;False
2023-01-18;7;4;2;1;13;False
2023-01-19;11;3;0;1;12;False
2023-01-20;11;4;1;0;10;False
2023-01-21;13;2;0;0;10;False
2023-01-22;9;2;2;2;11;False
2023-01-23;7;4;2;0;12;False
2023-01-24;11;0;0;0;9;False
2023-01-25;8;2;1;0;12;False
2023-01-26;21;0;1;0;11;False
2023-01-27;12;3;4;2;8;False
2023-01-28;12;0;1;0;11;False
2023-01-29;10;1;1;3;10;False
2023-01-30;12;1;5;2;16;False
2023-01-31;10;0;4;1;14;False
