date;US economy;Westerns;Andalucia holidays;Judiciary;air travel;isPartial
2023-01-01;7;20;10;0;76;False
2023-01-02;6;6;6;6;90;False
2023-01-03;5;18;0;0;59;False
2023-01-04;17;14;0;22;89;False
2023-01-05;18;10;0;26;73;False
2023-01-06;0;6;0;22;73;False
2023-01-07;8;22;9;8;53;False
2023-01-08;0;18;0;14;84;False
2023-01-09;16;0;0;14;50;False
2023-01-10;5;14;5;28;79;False
2023-01-11;18;7;7;16;90;False
2023-01-12;27;12;0;13;75;False
2023-01-13;14;16;0;0;60;False
2023-01-14;13;7;0;0;56;False
2023-01-15;17;23;0;9;66;False
2023-01-16;16;17;0;14;68;False
2023-01-17;0;0;0;15;56;False
2023-01-18;0;26;5;12;80;False
2023-01-19;20;6;0;39;73;False
2023-01-20;7;0;5;25;59;False
2023-01-21;7;18;7;0;63;False
2023-01-22;0;0;10;10;70;False
2023-01-23;5;18;11;13;72;False
2023-01-24;0;6;0;25;55;False
2023-01-25;21;0;0;5;75;False
2023-01-26;17;0;0;24;68;False
2023-01-27;13;16;0;8;47;False
2023-01-28;9;5;10;0;66;False
2023-01-29;12;24;0;7;60;False
2023-01-30;32;15;5;0;100;False
2023-01-31;21;14;0;23;84;False
