date;Antony Blinken;Soft drinks;Materials science;Alberto Giacometti;air travel;isPartial
2023-01-01;0;14;0;23;76;False
2023-01-02;0;34;26;0;90;False
2023-01-03;0;21;0;0;59;False
2023-01-04;0;37;15;0;89;False
2023-01-05;6;33;0;9;73;False
2023-01-06;12;32;0;6;73;False
2023-01-07;0;16;6;7;53;False
2023-01-08;14;32;13;0;84;False
2023-01-09;0;25;15;12;50;False
2023-01-10;0;26;0;0;79;False
2023-01-11;0;23;9;0;90;False
2023-01-12;0;28;20;15;75;False
2023-01-13;5;15;17;5;60;False
2023-01-14;0;16;0;0;56;False
2023-01-15;0;21;15;9;66;False
2023-01-16;0;10;11;9;68;False
2023-01-17;0;16;9;6;56;False
2023-01-18;13;11;21;0;80;False
2023-01-19;0;23;11;7;73;False
2023-01-20;0;35;16;5;59;False
2023-01-21;0;13;13;0;63;False
2023-01-22;30;14;11;0;70;False
2023-01-23;0;24;6;8;72;False
2023-01-24;0;30;15;0;55;False
2023-01-25;0;25;8;0;75;False
2023-01-26;16;11;16;0;68;False
2023-01-27;0;21;0;0;47;False
2023-01-28;0;17;0;7;66;False
2023-01-29;5;26;5;0;60;False
2023-01-30;11;17;16;7;100;False
2023-01-31;0;20;6;0;84;False
