date;indiana;Nick Offerman;houses of parliament;NBC;air travel;isPartial
2023-01-01;100;2;2;7;7;False
2023-01-02;32;1;2;5;8;False
2023-01-03;20;1;0;20;5;False
2023-01-04;18;1;2;6;8;False
2023-01-05;20;1;1;8;7;False
2023-01-06;24;1;1;8;7;False
2023-01-07;76;2;3;8;5;False
2023-01-08;26;0;2;6;8;False
2023-01-09;16;0;2;6;5;False
2023-01-10;15;1;1;9;7;False
2023-01-11;19;1;2;8;8;False
2023-01-12;20;1;2;7;7;False
2023-01-13;19;0;2;6;6;False
2023-01-14;21;0;2;9;5;False
2023-01-15;19;0;3;9;6;False
2023-01-16;18;1;2;7;6;False
2023-01-17;15;1;2;4;5;False
2023-01-18;17;1;2;7;7;False
2023-01-19;15;1;1;4;7;False
2023-01-20;19;0;2;5;6;False
2023-01-21;19;0;2;8;6;False
2023-01-22;15;1;2;7;7;False
2023-01-23;14;0;2;5;7;False
2023-01-24;19;2;2;6;5;False
2023-01-25;19;2;2;5;7;False
2023-01-26;13;2;2;3;6;False
2023-01-27;15;1;2;6;4;False
2023-01-28;23;0;2;8;6;False
2023-01-29;23;1;2;5;6;False
2023-01-30;14;37;2;8;9;False
2023-01-31;12;39;3;6;8;False
