date;Transport policy;Sarah Lancashire;Joe Cornish;New Mexico;air travel;isPartial
2023-01-01;0;100;0;13;14;False
2023-01-02;0;74;1;11;16;False
2023-01-03;2;42;1;9;10;False
2023-01-04;0;25;0;9;16;False
2023-01-05;0;20;1;10;13;False
2023-01-06;2;22;0;10;13;False
2023-01-07;0;26;0;12;9;False
2023-01-08;0;87;3;6;15;False
2023-01-09;1;66;0;9;9;False
2023-01-10;1;48;0;10;14;False
2023-01-11;0;30;0;10;16;False
2023-01-12;0;33;1;8;13;False
2023-01-13;0;34;0;10;11;False
2023-01-14;0;34;0;9;10;False
2023-01-15;0;89;1;4;12;False
2023-01-16;0;67;1;5;12;False
2023-01-17;0;57;0;8;10;False
2023-01-18;0;60;0;15;14;False
2023-01-19;2;39;0;14;13;False
2023-01-20;1;36;0;11;10;False
2023-01-21;0;48;0;10;11;False
2023-01-22;0;71;0;13;12;False
2023-01-23;1;43;1;10;13;False
2023-01-24;2;56;0;11;10;False
2023-01-25;0;39;0;8;13;False
2023-01-26;0;35;4;6;12;False
2023-01-27;0;28;6;7;8;False
2023-01-28;0;45;3;10;12;False
2023-01-29;0;69;4;7;11;False
2023-01-30;0;63;3;8;18;False
2023-01-31;0;44;2;6;15;False
