date;US small business;Martin McDonagh;Cost of living crisis;Ridley Scott;air travel;isPartial
2023-01-01;0;11;12;26;76;False
2023-01-02;0;11;21;37;90;False
2023-01-03;0;10;41;12;59;False
2023-01-04;0;0;66;13;89;False
2023-01-05;7;0;54;9;73;False
2023-01-06;0;15;46;30;73;False
2023-01-07;9;16;0;80;53;False
2023-01-08;11;14;40;44;84;False
2023-01-09;0;17;54;25;50;False
2023-01-10;0;0;50;8;79;False
2023-01-11;5;75;35;11;90;False
2023-01-12;7;32;57;28;75;False
2023-01-13;0;18;55;22;60;False
2023-01-14;0;36;22;13;56;False
2023-01-15;0;24;27;13;66;False
2023-01-16;0;20;60;10;68;False
2023-01-17;0;26;62;16;56;False
2023-01-18;0;12;41;26;80;False
2023-01-19;0;0;32;24;73;False
2023-01-20;0;11;37;24;59;False
2023-01-21;0;19;17;19;63;False
2023-01-22;0;12;28;30;70;False
2023-01-23;5;19;37;34;72;False
2023-01-24;0;32;50;10;55;False
2023-01-25;16;22;51;0;75;False
2023-01-26;5;41;37;10;68;False
2023-01-27;0;35;27;21;47;False
2023-01-28;0;36;6;10;66;False
2023-01-29;0;21;19;13;60;False
2023-01-30;0;21;48;20;100;False
2023-01-31;0;6;57;21;84;False
