date;UK cost of living crisis;The Greatest Showman;Rebecca Solnit;Bowel cancer;air travel;isPartial
2023-01-01;0;14;0;16;11;False
2023-01-02;2;100;0;23;13;False
2023-01-03;2;9;0;28;8;False
2023-01-04;3;5;3;27;12;False
2023-01-05;2;5;0;24;10;False
2023-01-06;2;8;0;24;10;False
2023-01-07;3;8;0;22;7;False
2023-01-08;2;19;0;25;12;False
2023-01-09;3;5;0;24;7;False
2023-01-10;2;4;0;27;11;False
2023-01-11;2;4;0;24;12;False
2023-01-12;3;6;0;31;10;False
2023-01-13;3;7;2;22;8;False
2023-01-14;2;9;0;19;8;False
2023-01-15;1;10;1;21;9;False
2023-01-16;1;4;1;20;9;False
2023-01-17;2;4;0;22;8;False
2023-01-18;2;6;0;20;11;False
2023-01-19;2;7;0;24;10;False
2023-01-20;1;7;0;22;8;False
2023-01-21;2;10;0;20;9;False
2023-01-22;2;7;0;20;10;False
2023-01-23;1;6;0;22;10;False
2023-01-24;2;4;0;28;8;False
2023-01-25;3;7;1;26;10;False
2023-01-26;3;5;1;22;9;False
2023-01-27;2;10;0;23;6;False
2023-01-28;0;11;0;15;9;False
2023-01-29;1;8;0;22;8;False
2023-01-30;1;4;0;30;14;False
2023-01-31;2;5;0;28;12;False
