date;poland;Sharon Stone;Utah;Charities;air travel;isPartial
2023-01-01;89;4;22;14;12;False
2023-01-02;80;3;14;19;14;False
2023-01-03;80;4;23;29;9;False
2023-01-04;82;2;16;31;14;False
2023-01-05;82;6;25;34;11;False
2023-01-06;80;11;20;26;12;False
2023-01-07;68;16;17;15;8;False
2023-01-08;78;14;20;20;13;False
2023-01-09;76;7;13;37;8;False
2023-01-10;87;3;12;37;12;False
2023-01-11;100;2;15;39;14;False
2023-01-12;92;2;15;36;12;False
2023-01-13;87;11;12;30;9;False
2023-01-14;75;2;18;19;9;False
2023-01-15;82;4;15;22;10;False
2023-01-16;99;3;11;42;11;False
2023-01-17;73;2;14;40;9;False
2023-01-18;74;3;11;35;13;False
2023-01-19;96;3;14;35;11;False
2023-01-20;97;4;13;32;9;False
2023-01-21;92;4;18;19;10;False
2023-01-22;82;6;13;22;11;False
2023-01-23;94;5;14;41;11;False
2023-01-24;97;5;18;38;9;False
2023-01-25;91;4;11;42;12;False
2023-01-26;81;3;15;37;11;False
2023-01-27;91;9;14;31;7;False
2023-01-28;67;4;13;18;10;False
2023-01-29;78;8;13;22;9;False
2023-01-30;88;4;15;41;16;False
2023-01-31;91;4;13;42;13;False
